央视频道,#genre#
CCTV5,http://111.227.71.118:7000/rtp/239.254.200.46:8004
CCTV5,http://125.123.194.171:9999/rtp/233.50.200.108:5140
CCTV5,http://117.57.50.223:8888/rtp/238.1.78.171:7240
CCTV5,http://106.57.1.85:55555/rtp/239.200.201.5:4120
CCTV5,http://114.217.85.116:7777/rtp/239.49.8.170:6000
CCTV5,http://219.159.147.195:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV5,http://106.57.0.197:55555/rtp/239.200.201.5:4120
CCTV5,http://61.136.158.216:18888/rtp/239.69.1.123:10376
CCTV5,http://175.163.201.174:60000/rtp/232.0.0.196:9210
CCTV5,http://223.151.49.74:59901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://124.65.3.255:20000/rtp/239.3.1.173:8001
CCTV5,http://27.227.183.44:666/rtp/239.255.30.184:8231
CCTV5,http://27.227.183.44:666/rtp/239.255.29.13:8231
CCTV5,http://125.123.22.55:6666/rtp/233.50.201.197:5140
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv
CCTV5,http://113.12.72.152:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5,http://115.231.200.110:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://36.249.165.157:9901/tsfile/live/0141_1.m3u8?key=txiptv
CCTV5,http://58.210.60.226:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.57.103.216:9000/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.57.21.233:8666/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://222.92.7.170:3333/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://124.165.251.82:9999/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://218.89.240.144:59901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV5,http://36.248.137.69:60033/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://222.89.107.42:9876/tsfile/live/0017_1.m3u8?key=txiptv
CCTV5,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://113.120.108.229:4000/rtp/239.21.1.142:5002
CCTV5+,http://182.46.8.252:8686/rtp/239.21.1.142:5002
CCTV5+,http://183.184.60.251:8085/rtp/226.0.2.168:9256
CCTV5+,http://60.208.44.186:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://58.19.182.187:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://220.182.45.198:20088/tsfile/live/0016_1.m3u8?key=txiptv
